Score|InChI|FragmenterScore_Values|MaximumTreeDepth|MonoisotopicMass|Identifier|MolecularFormula|FormulasOfExplPeaks|InChIKey2|InChIKey1|FragmenterScore|ExplPeaks|NoExplPeaks|NumberPeaksUsed
1.0|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h21,23,27,29,42H,6-20,22,24-26,28,30-41H2,1-5H3/b23-21-,29-27-/t42-/m1/s1|1.00000907E8;1418.0;335.0;431.0;2.00000635E8;1.0E8;662.0;331.0;1.0000077E8|3|785.593458|LMGP01010766|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H53O7P-3H]+H+;166.066686521615:[C5H13NO3P-H]+H+;524.383877796362:[C26H53NO7P+H]+H+;184.031089063574:[C8H11O5-3H]+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H53NO6P-H]+H+;524.325611369732:[C29H50O6P-2H]+H+|SGMTWIHVSA|PNNRCVLUZNDRRG|229.9769910647552|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|9|19
0.8783057761638671|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h31,33,35,37,42H,6-30,32,34,36,38-41H2,1-5H3/b33-31+,37-35+/t42-/m1/s1|1.00000907E8;1.00000335E8;335.0;431.0;1.00000942E8;1.0E8;662.0;331.0;1.0000077E8|3|785.593458|LMGP01010765|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H50O7P]+H+;166.066686521615:[C5H13NO3P-H]+H+;524.383877796362:[C26H53NO7P+H]+H+;184.031089063574:[C8H8O5-H]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H53NO6P-H]+H+;524.325611369732:[C29H50O6P-2H]+H+|BIFUJNFHSA|DTPHOVXVLBUQRC|201.99011963696054|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|9|19
0.8782722182342756|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14,16,20,22,42H,6-13,15,17-19,21,23-41H2,1-5H3/b16-14-,22-20-/t42-/m1/s1|1.00000907E8;1.00000335E8;335.0;431.0;2.00000635E8;1.0E8;662.0;331.0;1.0000077E8|3|785.593458|LMGP01010935|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H50O7P]+H+;166.066686521615:[C5H13NO3P-H]+H+;524.383877796362:[C26H53NO7P+H]+H+;184.031089063574:[C8H11O5-3H]+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H53NO6P-H]+H+;524.325611369732:[C29H50O6P-2H]+H+|FPUNCOTOSA|DZPKSVTWWIZUMS|201.98240208528674|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|9|19
0.8782722182342756|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,21,23,42H,6-14,16,18-20,22,24-41H2,1-5H3/b17-15-,23-21-/t42-/m1/s1|1.00000907E8;1.00000335E8;335.0;431.0;2.00000635E8;1.0E8;662.0;331.0;1.0000077E8|3|785.593458|LMGP01010768|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H50O7P]+H+;166.066686521615:[C5H13NO3P-H]+H+;524.383877796362:[C26H53NO7P+H]+H+;184.031089063574:[C8H11O5-3H]+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H53NO6P-H]+H+;524.325611369732:[C29H50O6P-2H]+H+|VPUSDGANSA|FORFDCPQKJHEBF|201.98240208528674|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|9|19
0.8782722182342756|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,19,21,42H,6-14,16,18,20,22-41H2,1-5H3/b17-15-,21-19-/t42-/m1/s1|1.00000907E8;1.00000335E8;335.0;431.0;2.00000635E8;1.0E8;662.0;331.0;1.0000077E8|3|785.593458|LMGP01010764|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H50O7P]+H+;166.066686521615:[C5H13NO3P-H]+H+;524.383877796362:[C26H53NO7P+H]+H+;184.031089063574:[C8H11O5-3H]+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H53NO6P-H]+H+;524.325611369732:[C29H50O6P-2H]+H+|PQZYZDDCSA|GEBIVJZAMTZGNL|201.98240208528674|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|9|19
0.7847561233767958|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-23-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45)53-44(47)37-35-33-31-29-27-25-22-18-16-14-12-10-8-6-4-2/h12,14,18,22,42H,3-11,13,15-17,19-21,23-41,45H2,1-2H3,(H,48,49)/b14-12-,22-18-/t42-/m1/s1|1.00000335E8;1197.0;431.0;1.00000331E8;1.0E8;1.00000762E8;331.0;1.0000077E8|3|785.593458|LMGP02011000|C44H84NO8P|542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H10NO3P+2H]+H+;524.383877796362:[C26H53NO7P+H]+H+;184.031089063574:[C4H10NO5P]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H39O3+H]+H+;506.372540801896:[C26H53NO6P-H]+H+;524.325611369732:[C29H50O6P-2H]+H+|VSMMPPDLSA|UVVGDZJNYYRYNB|180.47585197383728|542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|8|19
0.7847561233767958|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-22-18-16-14-12-10-8-6-4-2/h12,14,18,22,42H,3-11,13,15-17,19-21,23-41,45H2,1-2H3,(H,48,49)/b14-12-,22-18-/t42-/m1/s1|1.00000335E8;1197.0;431.0;1.00000331E8;1.0E8;1.00000762E8;331.0;1.0000077E8|3|785.593458|LMGP02010674|C44H84NO8P|542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H10NO3P+2H]+H+;524.383877796362:[C26H53NO7P+H]+H+;184.031089063574:[C4H10NO5P]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H39O3+H]+H+;506.372540801896:[C26H53NO6P-H]+H+;524.325611369732:[C29H50O6P-2H]+H+|VSMMPPDLSA|XGZKAHSMYBIVQK|180.47585197383728|542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|8|19
0.6572674656817756|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h22-25,42H,6-21,26-41H2,1-5H3/b24-22-,25-23-/t42-/m1/s1|1.00000907E8;942.0;335.0;2.00000635E8;862.0;431.0;1477.0|3|785.593458|LMGP01010873|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H51NO6P+H]+H+;524.325611369732:[C29H51O6P-3H]+H+|SDDSAGJCSA|GSBQNXGZJSUFQJ|151.156394082252|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.6055437214225589|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-21-19-17-15-13-11-9-7-2/h13,15,19,21,42H,6-12,14,16-18,20,22-41H2,1-5H3/b15-13-,21-19-/t42-/m1/s1|1.00000907E8;1.00000335E8;807.0;335.0;2.00000635E8;1.0E8;1.00000331E8;607.0;1.0000077E8|3|785.593458|LMGP01011737|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H50O7P]+H+;524.383877796362:[C26H52NO7P+2H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H52NO6P]+H+;524.325611369732:[C29H50O6P-2H]+H+|SAEGERMGSA|QXYCOSSNZHGBQM|139.26112301091442|146.985496708767_544.7;542.338293536137_224.1;524.383877796362_999.0;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|9|19
0.6055437214225589|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h13,15,19,21,42H,6-12,14,16-18,20,22-41H2,1-5H3/b15-13-,21-19-/t42-/m1/s1|1.00000907E8;1.00000335E8;807.0;335.0;2.00000635E8;1.0E8;1.00000331E8;607.0;1.0000077E8|3|785.593458|LMGP01011567|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H50O7P]+H+;524.383877796362:[C26H52NO7P+2H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H52NO6P]+H+;524.325611369732:[C29H50O6P-2H]+H+|SAEGERMGSA|FNDHCZWCIJOBKA|139.26112301091442|146.985496708767_544.7;542.338293536137_224.1;524.383877796362_999.0;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|9|19
0.5242480392650334|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-21-19-17-15-13-11-9-7-2/h19,21-23,42H,6-18,20,24-41H2,1-5H3/b21-19-,23-22-/t42-/m1/s1|1.00000907E8;942.0;335.0;2.00000635E8;1.00000531E8;807.0;1477.0|3|785.593458|LMGP01011765|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C29H51O6P-3H]+H+|GNGICMBHSA|CUGOEPUQEAHPFO|120.56498664177002|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.5242480392650334|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h19,21-23,42H,6-18,20,24-41H2,1-5H3/b21-19-,23-22-/t42-/m1/s1|1.00000907E8;942.0;335.0;2.00000635E8;1.00000531E8;807.0;1477.0|3|785.593458|LMGP01011538|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C29H51O6P-3H]+H+|GNGICMBHSA|UBEFUEKAJBMRIU|120.56498664177002|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.4808552683023855|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h26-29,42H,6-25,30-41H2,1-5H3/b28-26-,29-27-/t42-/m1/s1|1.00000907E8;1218.0;335.0;2.00000635E8;862.0;431.0;1.0000077E8|3|785.593458|LMGP01010868|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H51NO6P+H]+H+;524.325611369732:[C29H50O6P-2H]+H+|MMKOEKFTSA|KLJBLQFSKZACGJ|110.58564774181818|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.4808552683023855|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h26-29,42H,6-25,30-41H2,1-5H3/b28-26+,29-27+/t42-/m1/s1|1.00000907E8;1218.0;335.0;2.00000635E8;862.0;431.0;1.0000077E8|3|785.593458|LMGP01010866|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H51NO6P+H]+H+;524.325611369732:[C29H50O6P-2H]+H+|MXKZWCJFSA|KLJBLQFSKZACGJ|110.58564774181818|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.4719212107101476|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h32-35,42H,6-31,36-41H2,1-5H3/b34-32-,35-33-/t42-/m1/s1|1.00000907E8;1418.0;335.0;1.00001142E8;1.0E8;862.0;431.0;1.0000077E8|3|785.593458|LMGP01010862|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C28H51NO7P-3H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H10O5-3H]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H51NO6P+H]+H+;524.325611369732:[C29H50O6P-2H]+H+|JNEAGCBWSA|GBTWUAFBAVHJIA|108.53102005875607|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|8|19
0.46681282791014184|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h12-15,42H,6-11,16-41H2,1-5H3/b14-12-,15-13-/t42-/m1/s1|1.00000907E8;1549.0;335.0;2.00000635E8;862.0;431.0;1.0000097E8|3|785.593458|LMGP01010851|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H51NO6P+H]+H+;524.325611369732:[C29H52O6P-3H]+|JGZDBMRRSA|ZQSUPFSNUKFQLO|107.3562095532038|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
