Score|InChI|FragmenterScore_Values|MaximumTreeDepth|MonoisotopicMass|Identifier|MolecularFormula|FormulasOfExplPeaks|InChIKey2|InChIKey1|FragmenterScore|ExplPeaks|NoExplPeaks|NumberPeaksUsed
0.35006309077013137|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h16-19,42H,6-15,20-41H2,1-5H3/b18-16+,19-17+/t42-/m1/s1|1.00000907E8;1.00000435E8;335.0;2.00000635E8;862.0;431.0;1.0000097E8|3|785.593458|LMGP01010837|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H52O7P-2H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H51NO6P+H]+H+;524.325611369732:[C29H52O6P-3H]+|MFLKKAITSA|XUCDYRWWRZBNCQ|80.50645629814309|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.2941950982417712|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-19-17-15-13-11-9-7-2/h17,19-21,42H,6-16,18,22-41H2,1-5H3/b19-17-,21-20-/t42-/m1/s1|1.00000907E8;1849.0;335.0;2.00000635E8;1.00000962E8;1183.0;1.0000097E8|3|785.593458|LMGP01011812|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C28H52NO7P-3H]+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H37O3+3H]+H+;506.372540801896:[C26H49NO6P+3H]+H+;524.325611369732:[C29H52O6P-3H]+|NPCYKUJHSA|NZMJAZKGUFCMTN|67.65810347964259|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.2941950982417712|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h17,19-21,42H,6-16,18,22-41H2,1-5H3/b19-17-,21-20-/t42-/m1/s1|1.00000907E8;1849.0;335.0;2.00000635E8;1.00000962E8;1183.0;1.0000097E8|3|785.593458|LMGP01011489|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C28H52NO7P-3H]+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H37O3+3H]+H+;506.372540801896:[C26H49NO6P+3H]+H+;524.325611369732:[C29H52O6P-3H]+|NPCYKUJHSA|RPEHVLWFOYUNMD|67.65810347964259|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.21619993604460774|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45)53-44(47)37-35-33-31-29-27-24-18-16-14-12-10-8-6-4-2/h10,12,16,18,42H,3-9,11,13-15,17,19-41,45H2,1-2H3,(H,48,49)/b12-10-,18-16-/t42-/m1/s1|1.00000335E8;1197.0;1.00000531E8;1.00000331E8;1.0E8;1.00000762E8;707.0;1.0000077E8|3|785.593458|LMGP02011023|C44H84NO8P|542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H10NO3P+2H]+H+;524.383877796362:[C26H52NO7P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H39O3+H]+H+;506.372540801896:[C27H53O6P+H]+H+;524.325611369732:[C29H50O6P-2H]+H+|NVHHCKCESA|UJMWZCQBRYQURT|49.7210107599314|542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|8|19
0.21619993604460774|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-18-16-14-12-10-8-6-4-2/h10,12,16,18,42H,3-9,11,13-15,17,19-41,45H2,1-2H3,(H,48,49)/b12-10-,18-16-/t42-/m1/s1|1.00000335E8;1197.0;1.00000531E8;1.00000331E8;1.0E8;1.00000762E8;707.0;1.0000077E8|3|785.593458|LMGP02010616|C44H84NO8P|542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H10NO3P+2H]+H+;524.383877796362:[C26H52NO7P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H39O3+H]+H+;506.372540801896:[C27H53O6P+H]+H+;524.325611369732:[C29H50O6P-2H]+H+|NVHHCKCESA|VIKJGHSSVLQMFS|49.7210107599314|542.338293536137_224.1;166.066686521615_283.1;524.383877796362_999.0;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|8|19
0.1585853405256304|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45)53-44(47)37-35-33-31-29-27-24-18-16-14-12-10-8-6-4-2/h16,18,20-21,42H,3-15,17,19,22-41,45H2,1-2H3,(H,48,49)/b18-16-,21-20-/t42-/m1/s1|1.00000535E8;1197.0;1.00000331E8;1.00000962E8;1451.0;1.0000097E8|3|785.593458|LMGP02011049|C44H84NO8P|542.338293536137:[C29H53O7P-2H]+;166.066686521615:[C5H10NO3P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;341.312316392942:[C21H37O3+3H]+H+;506.372540801896:[C27H51O6P+3H]+H+;524.325611369732:[C29H52O6P-3H]+|ZPHZWGKESA|LBBJEWOHIGXFJE|36.47097944106406|542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|6|19
0.1585853405256304|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-18-16-14-12-10-8-6-4-2/h16,18,20-21,42H,3-15,17,19,22-41,45H2,1-2H3,(H,48,49)/b18-16-,21-20-/t42-/m1/s1|1.00000535E8;1197.0;1.00000331E8;1.00000962E8;1451.0;1.0000097E8|3|785.593458|LMGP02010587|C44H84NO8P|542.338293536137:[C29H53O7P-2H]+;166.066686521615:[C5H10NO3P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;341.312316392942:[C21H37O3+3H]+H+;506.372540801896:[C27H51O6P+3H]+H+;524.325611369732:[C29H52O6P-3H]+|ZPHZWGKESA|GJSJWFMFMWVUCV|36.47097944106406|542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|6|19
0.14146009820476724|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-27-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-26-17-15-13-11-9-7-2/h13,15,21-22,42H,6-12,14,16-20,23-41H2,1-5H3/b15-13-,22-21-/t42-/m1/s1|1.00000907E8;1849.0;335.0;2.00000635E8;1.00000962E8;1.00000531E8;1.0000077E8|3|785.593458|LMGP01012007|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C28H52NO7P-3H]+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H37O3+3H]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C29H50O6P-2H]+H+|OYSVHDFDSA|CFLGECPVWWGQHW|32.53256774085715|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.14146009820476724|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-17-15-13-11-9-7-2/h13,15,21-22,42H,6-12,14,16-20,23-41H2,1-5H3/b15-13-,22-21-/t42-/m1/s1|1.00000907E8;1849.0;335.0;2.00000635E8;1.00000962E8;1.00000531E8;1.0000077E8|3|785.593458|LMGP01011405|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C28H52NO7P-3H]+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H37O3+3H]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C29H50O6P-2H]+H+|OYSVHDFDSA|OSQPZLNFQDFXPL|32.53256774085715|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.034179750767751794|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-19-17-15-13-11-9-7-2/h14,16,20-21,42H,6-13,15,17-19,22-41H2,1-5H3/b16-14-,21-20-/t42-/m1/s1|1.00000907E8;1.00000335E8;335.0;2.00000635E8;1.0E8;1.00001255E8;1.00000979E8;1.000001E8|3|785.593458|LMGP01011841|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H50O7P]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H51NO6P+H]+H+;524.325611369732:[C25H49NO8P+H]+H+|UXSLIEDSSA|JCABAGPMEUGRDK|7.8605562369108135|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|8|19
0.034179750767751794|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h14,16,20-21,42H,6-13,15,17-19,22-41H2,1-5H3/b16-14-,21-20-/t42-/m1/s1|1.00000907E8;1.00000335E8;335.0;2.00000635E8;1.0E8;1.00001255E8;1.00000979E8;1.000001E8|3|785.593458|LMGP01011469|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H50O7P]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H51NO6P+H]+H+;524.325611369732:[C25H49NO8P+H]+H+|UXSLIEDSSA|ZRTZULWIAWDUBY|7.8605562369108135|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|8|19
0.03408296966507915|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-27-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-26-17-15-13-11-9-7-2/h13,15,19-20,42H,6-12,14,16-18,21-41H2,1-5H3/b15-13-,20-19-/t42-/m1/s1|1.00000907E8;1.00000435E8;335.0;2.00000635E8;1.00000962E8;1.00000531E8;1.0000097E8|3|785.593458|LMGP01012219|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H52O7P-2H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H37O3+3H]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C29H52O6P-3H]+|MHJIJCEHSA|CYQUGAJGPGKDFF|7.83829881012623|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.03408296966507915|InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-17-15-13-11-9-7-2/h13,15,19-20,42H,6-12,14,16-18,21-41H2,1-5H3/b15-13-,20-19-/t42-/m1/s1|1.00000907E8;1.00000435E8;335.0;2.00000635E8;1.00000962E8;1.00000531E8;1.0000097E8|3|785.593458|LMGP01012133|C44H84NO8P|146.985496708767:[C4H7O4P-3H]+;542.338293536137:[C29H52O7P-2H]+H+;166.066686521615:[C5H13NO3P-H]+H+;184.031089063574:[C8H11O5-3H]+;341.312316392942:[C21H37O3+3H]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C29H52O6P-3H]+|MHJIJCEHSA|CGXBWJDAGMQUFG|7.83829881012623|146.985496708767_544.7;542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.019992115815225964|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45)53-44(47)37-35-33-31-29-27-25-22-20-18-16-14-12-10-8-6-4-2/h11,13,17,19,42H,3-10,12,14-16,18,20-41,45H2,1-2H3,(H,48,49)/b13-11-,19-17-/t42-/m1/s1|1.00000335E8;1197.0;1.00000331E8;1.0E8;1.00000331E8;1.00001079E8;1.000001E8|3|785.593458|LMGP02010888|C44H84NO8P|542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H10NO3P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C25H49NO8P+H]+H+|GZHHDXNOSA|FRXTXNIGHDSOLA|4.597726640203772|542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.019992115815225964|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h11,13,17,19,42H,3-10,12,14-16,18,20-41,45H2,1-2H3,(H,48,49)/b13-11-,19-17-/t42-/m1/s1|1.00000335E8;1197.0;1.00000331E8;1.0E8;1.00000331E8;1.00001079E8;1.000001E8|3|785.593458|LMGP02010783|C44H84NO8P|542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H10NO3P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H40O3]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C25H49NO8P+H]+H+|GZHHDXNOSA|FMNJZWZZZSFWAM|4.597726640203772|542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.01999211454290108|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45)53-44(47)37-35-33-31-29-27-24-18-16-14-12-10-8-6-4-2/h11,13,17,19,42H,3-10,12,14-16,18,20-41,45H2,1-2H3,(H,48,49)/b13-11-,19-17-/t42-/m1/s1|1.00000335E8;1197.0;1.00000331E8;1.0E8;1.00001255E8;1.00001079E8;1.000001E8|3|785.593458|LMGP02011079|C44H84NO8P|542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H10NO3P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C25H49NO8P+H]+H+|GZHHDXNOSA|UPVYAOJZFHDZEO|4.597726347598324|542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.01999211454290108|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-18-16-14-12-10-8-6-4-2/h11,13,17,19,42H,3-10,12,14-16,18,20-41,45H2,1-2H3,(H,48,49)/b13-11-,19-17-/t42-/m1/s1|1.00000335E8;1197.0;1.00000331E8;1.0E8;1.00001255E8;1.00001079E8;1.000001E8|3|785.593458|LMGP02010559|C44H84NO8P|542.338293536137:[C29H51O7P-H]+H+;166.066686521615:[C5H10NO3P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;184.221093228449:[C13H27]+H+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H50NO6P+2H]+H+;524.325611369732:[C25H49NO8P+H]+H+|GZHHDXNOSA|QZLCFKDKEIAKLH|4.597726347598324|542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;184.221093228449_261.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|7|19
0.019895330463762406|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45)53-44(47)37-35-33-31-29-27-25-22-20-18-16-14-12-10-8-6-4-2/h17,19-20,22,42H,3-16,18,21,23-41,45H2,1-2H3,(H,48,49)/b19-17-,22-20-/t42-/m1/s1|1.00000535E8;1197.0;1.00000331E8;1.00000531E8;1.00001568E8;1.0000097E8|3|785.593458|LMGP02010859|C44H84NO8P|542.338293536137:[C29H53O7P-2H]+;166.066686521615:[C5H10NO3P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H49NO6P+3H]+H+;524.325611369732:[C29H52O6P-3H]+|VZDDXLEPSA|WZANEWAHJDKVDU|4.5754682362950385|542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|6|19
0.019895330463762406|InChI=1S/C44H84NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17,19-20,22,42H,3-16,18,21,23-41,45H2,1-2H3,(H,48,49)/b19-17-,22-20-/t42-/m1/s1|1.00000535E8;1197.0;1.00000331E8;1.00000531E8;1.00001568E8;1.0000097E8|3|785.593458|LMGP02010813|C44H84NO8P|542.338293536137:[C29H53O7P-2H]+;166.066686521615:[C5H10NO3P+2H]+H+;184.031089063574:[C4H10NO5P]+H+;341.312316392942:[C21H38O3+2H]+H+;506.372540801896:[C26H49NO6P+3H]+H+;524.325611369732:[C29H52O6P-3H]+|VZDDXLEPSA|SEHASXPRKLRHPR|4.5754682362950385|542.338293536137_224.1;166.066686521615_283.1;184.031089063574_381.6;341.312316392942_249.9;506.372540801896_352.7;524.325611369732_406.9|6|19
